Target,Tweet,Stance
Legalization of Abortion,@Jizismyname can't wait to see you on @heyqweentv #JizIsMyName #ElectronicaDrugDealer #Jiz  #SemST,AGAINST
Hillary Clinton,"@churstauthor Thanks for the follow Charles, may God bless you and your family !  #freeallfour #SemST",NONE
climate change,We must act immediately to combat climate change.,FAVOR
Atheism,We'd like to welcome Lucy Dee to the Atheist Apocalypse team!   May God have mercy on your soul!   #God #mercy #podcast #SemST,AGAINST
Legalization of Abortion,"@BuhayIpaglaban @laurawrpie Every time I ""discuss"" with ""#prolife"" it reaffirms my belief that #antichoice are complete idiots. #SemST",FAVOR
Hillary Clinton,"@HillaryClinton now can add #ropegate to her long list of ""accomplishments #hillaryforprison2016 #entertainment #SemST",AGAINST
Feminist Movement,Ironic how the anti- feminist intimidation machine has drowned out the voices of those trying to civilly critique feminist ideas. #SemST,AGAINST
Hillary Clinton,.@thehill umm.  Yyyeaaaaah. Sure they do. #SemST,NONE
climate change,Weather has always changed over time.,NONE
climate change,There is no solid proof that climate change is real.,AGAINST
Hillary Clinton,when i get married to my partner i want @HillaryClinton to be my maid of honor!  #govote #girlpower #lovewins #SemST,FAVOR
Donald Trump,Politics are confusing these days.,NONE
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Hillary Clinton,#HillaryClinton just cannot accept the fact that #America does not like her. #HillaryonCNN #BernieSanders #SemST,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Feminist Movement,Feminists who go for a gender studies degree should also blame the patriarchy for their mediocre grades in science. #SemST,AGAINST
Legalization of Abortion,.@BuhayIpaglaban perhaps you want to go to the fertility clinics & rescue them all. How many can you fit in your womb. #clowncar #SemST,AGAINST
Hillary Clinton,"Amazing, inspiring speech&question session in Iowa City from @HillaryClinton .Her answers on education&health care were clear. #SemST",FAVOR
Hillary Clinton,"@HillaryClinton: Here's to fearless women chasing their goals. Congratulations, Team #USA! H #SemST",AGAINST
Hillary Clinton,@dougshelton749 @realDonaldTrump  #HRC would be an even bigger threat to America than #Obummer.   #WakeUpAmerica #SemST,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Legalization of Abortion,Just been having rather horrible discussion with @Tim_Hallan - reminder that we have a long way to go. #HumanRights #healthcare #SemST,NONE
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Hillary Clinton,"@LeahR77 @HillaryClinton the unethical lying granny strikes again.  No charisma, no character, no accomplishments, no warmth #SemST",AGAINST
Atheism,"Jesus, you are my helper. Help me to rest and trust in you and your finished work at the Cross. Amen. #SemST",AGAINST
Hillary Clinton,Join the Hillary team now and come to the Jefferson County phone bank tomorrow from 6-8 at Bliss Studio in Fairfield! #SemST,FAVOR
Feminist Movement,@mustangALLIE_ and i was agreeing with ur tweet #SemST,NONE
climate change,Climate change is the biggest threat to our future.,FAVOR
Atheism,"@Brasilmagic @neiltyson there's no god 2b tired of, just tired o ppl believing in such nonsense. Time 2 focus on reality, HUMANITY #SemST",FAVOR
Legalization of Abortion,There weren't any volunteers outside abortion clinic when she had her abortion bcs there aren't enough of us. Can you join us? 2/2 #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
climate change,I just enjoy sunny days.,NONE
Atheism,"If only dreams were real, now it's gone. #SingleBecause #getonyourfeet #SemST",AGAINST
Feminist Movement,Don't #GiveYourMoneyToWomen. Instead feed a cat or a dog. The animal will like you and show some gratitude.   #SemST,AGAINST
climate change,I just enjoy sunny days.,NONE
Hillary Clinton,@CNNSotu @jaketapper - Can we get back to the issues? That's what #Bernie2016 wants to talk about. Not about #SemST,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
climate change,There is no solid proof that climate change is real.,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Hillary Clinton,The press needs to get out of the way so the peasants can get a glimpse of her Highness. #morningjoe  #SemST,AGAINST
Legalization of Abortion,".@JessieLosch There is no such thing as a ""safe & alive"" abortion because every abortion that goes as intended leaves >= 1 dead #SemST",AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
climate change,We must act immediately to combat climate change.,FAVOR
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Feminist Movement,"Please tell me more about how UTI commercials are icky, so I won't forget to livetweet my next one in person. #SemST",NONE
Atheism,"Isaiah 43:15 I am the Lord, your Holy One, the Creator of Israel, your King. #God #SemST",AGAINST
Hillary Clinton,"Hillary Clinton has amassed $329 million in her career (3 of her top 5 donors are Citigroup, Goldman & JP Morgan). #Bernie2016 #SemST",AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Atheism,Currently doing a piece on logical fallacies for my blog @weebly #philosophy #logicism #blog #humanist #SemST,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Legalization of Abortion,@JujuChangABC abortions should never be illegal. It should be the pregnant person's choice. Especially if that person was rape #SemST,FAVOR
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
climate change,I just enjoy sunny days.,NONE
Hillary Clinton,"Based on the long lines, I thought it was free burrito day at Pancheros but it was actually Hillary! #ReadyForHillary #SemST",FAVOR
Feminist Movement,"The concept of #RapeCulture is a puerile, intellectually dishonest glorification of a crime by feminists.  #SemST",AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Donald Trump,Politics are confusing these days.,NONE
climate change,Climate change is the biggest threat to our future.,FAVOR
Legalization of Abortion,@FeministSpag @1310edhand @1310news we do care about the hurt inflicted upon preborn children through #abortion. #TruthTour #Ottawa #SemST,AGAINST
Legalization of Abortion,Where's the most dangerous place for a child? In the hands of an ISIS terrorist? Almost. Inside their mother's womb #MiddleAmerica #SemST,AGAINST
Atheism,This world needs a tight group hug. Tight enough to relieve them from all this anger and hate. #MakePeaceWithEachOther #SemST,AGAINST
Hillary Clinton,Take care of your finances. Spend sensibly. Save for a rainy day. Live within your means. Resist greed. #Greece #SemST,NONE
Donald Trump,I don’t really care who’s president.,NONE
Atheism,"RT @ACatholicPrayer: Holy Trinity, one God, Have #mercy on us. #Catholic #SemST",AGAINST
Feminist Movement,I'm the bad cop to @Patjouk's good cop. (... Though am I/is she really? Muahaha. ;P) #tech #techdiversity #SemST,NONE
Legalization of Abortion,A prochoice advocate but circumcise ur baby? Fucking hypocrite! #circumcision #humanrights #SemST,AGAINST
Atheism,RT @br_holden: Superstition-based thoughts tend to be wasted thoughts.  #freethinker #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
climate change,We must act immediately to combat climate change.,FAVOR
climate change,We must act immediately to combat climate change.,FAVOR
climate change,There is no solid proof that climate change is real.,AGAINST
Hillary Clinton,@jschau11 wow!!! i can halp too!! #OBAMASUCKS #BLOWUPISIS #NOIRS #NOSHARIAUSA #NOAMNESTY #DAMNTHAT140  #USARULES...#ILOVETHIS #(:) #SemST,NONE
climate change,There is no solid proof that climate change is real.,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Donald Trump,Donald Trump is making America great again!,FAVOR
climate change,There is no solid proof that climate change is real.,AGAINST
Feminist Movement,The hypothesis of gender as a social construct is prevalent in majority of feminist ideas. Ergo most feminists are TERF. #SemST,AGAINST
Legalization of Abortion,@marcmaron @amyschumer @JuddApatow Are you a triceratops or tricerabottom? #arethosehornsyourewearing #SemST,NONE
Donald Trump,Politics are confusing these days.,NONE
Legalization of Abortion,AntiChoice laws say women can't make their own decisions  #SemST,AGAINST
Hillary Clinton,I think that everything she says is a lie.   I mean EVERYTHING.   I don't even think her name is Hillary.  #WakeUpAmerica #SemST,AGAINST
Legalization of Abortion,it's not that i don't want to be at work. it's that i rather be asleep. #SemST,NONE
Hillary Clinton,I BLOCKED 2 Liberals Today!..A Very Good Thursday! #GODBLESSTHEUSA #HardCoreAmericanConservative #2A #NRA #ArticleV  #NoMoreBushes #SemST,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Feminist Movement,"Sleezy men: DO NOT catcall at me and @emmalizrizz while we're out walking. It's NOT welcome, attractive or harmless. #SemST",FAVOR
Atheism,Patriotism and Humanism are impossible for someone who takes #Islam too seriously. #SemST,FAVOR
Atheism,Loving who I am! Today was awesome because I enjoyed being me. Can't nobody steal my joy! #selflove #motivated by #SemST,NONE
Feminist Movement,your mother did not carry you for 9 months so you could yell 'suck my dick' at me from your car #SemST,FAVOR
climate change,Weather has always changed over time.,NONE
climate change,There is no solid proof that climate change is real.,AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
Legalization of Abortion,@notmuchelse It is no less your child before or after birth. One continuum of life. #SemST,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Legalization of Abortion,"DEAR PROABORTS: Using BAD grammar and FILTHY language and INTIMIDATION makes you look ignorant, inept and desperate. #GodWins #SemST",AGAINST
Legalization of Abortion,Need a ProLife R.E. Agent? - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate@Yahoo.com #SemST,AGAINST
Donald Trump,I don’t really care who’s president.,NONE
Feminist Movement,HAPPY BIRTHDAY TO ONE OF MY FAV PEOPLE WHO HAS GREAT VIEWS & IS A FELLOW SUPREME COURT CUTIE I LOVE YOU @maddylinder #SemST,NONE
Feminist Movement,"I thought this video on #equality was interesting, contradictions and demonization about men in the agenda of passive and activist #SemST",AGAINST
climate change,I just enjoy sunny days.,NONE
Legalization of Abortion,Obama Administration sends 5.6 million dollars to #SemST,NONE
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Hillary Clinton,A circus Act such as Donald Trump is short term entertainment. Soon to be canceled. #SemST,NONE
Atheism,"@dsurman  Jesus is favor of all, that they would believe He died for them. Why try to wage a conflict you will lose? #God #SemST",AGAINST
Legalization of Abortion,It very simple .. Let women choose.. #repealthe8th #notacriminal #SemST,FAVOR
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Feminist Movement,@watchyoomouth_ @SCbchbum are you fucking KIDDING ME? so you're saying that justifies rape? #rapeculture #smdh #SemST,FAVOR
climate change,Climate change is a hoax made up to control us.,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Legalization of Abortion,"#Fiona Bruce wants a government that forces women to have children, and then refuses to financially help them. #bodyautonomy #SemST",FAVOR
Legalization of Abortion,asked a protester-u'll fund the moms?Yes-So #announced it in DT #hamont-yo ppl #NoAbortion=these ppl wth picz will pay 4yo' kids #SemST,AGAINST
Feminist Movement,"DEAR FEMINISTS  Yes, we should teach men not to rape. Also, we should teach women not to murder their own children.  #SemST",AGAINST
Donald Trump,Politics are confusing these days.,NONE
climate change,There is no solid proof that climate change is real.,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Legalization of Abortion,@notmuchelse Then make sure Udon't get pregnant. And don't KILL your child if you do! You are the mom RESPONSIBLE 4child's life! #SemST,AGAINST
Hillary Clinton,"@peddoc63 @Fr3333dom Seems the way we're going. Lord, I hope Bilderbergs don't pay for Hitlery like they did O. #SemST",AGAINST
Feminist Movement,Feminists grades in science class usually are as bad as the abysmal success rate of marriage.   #GamerGate #NotYourSh... #SemST,AGAINST
Hillary Clinton,"@billodoux Thanks for the follow, that his by far the cutest avatar I have seen, God bless you all ! #freealfour #SemST",NONE
climate change,Climate change is the biggest threat to our future.,FAVOR
Donald Trump,Politics are confusing these days.,NONE
Atheism,The deeper I go with in- The deeper~> the silence- the peace- the healing- the clarity- the vision- the belief- The deeper my  #SemST,AGAINST
Legalization of Abortion,Women ARE capable of making decisions #SemST,FAVOR
Feminist Movement,Been watching a lot of feminist videos in YouTube an all I can say is Are these women for real ?!?! #SemST,AGAINST
Atheism,Never debate with the devil... Give him an instruction to get behind you!!  #SemST,AGAINST
climate change,I just enjoy sunny days.,NONE
Atheism,"Surely the Sovereign LORD does nothing without revealing his plan to his servants the prophets"" #Amos3v7 #SemST",AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Atheism,"Choose Him who died so that you may live, over him who lives so that you may die.  - WTL Apologetics  #DeadToSin #AliveInChrist #SemST",AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Legalization of Abortion,@notmuchelse Giving birth is not pushing women toward death. #SemST,AGAINST
Hillary Clinton,@USATODAY @HillaryClinton how about finding her a #pathtoJAIL #DONOTPASSGO do collect any Any more of #WeThePeople s #SemST,AGAINST
Hillary Clinton,"@donnabrazile @DougHeye So this woman does one thing to help. She's GOP - she's, ultimately, the enemy - don't doubt it #SemST",AGAINST
Atheism,#HemaMalini please think twice before giving a statement. A couple has lost their kid. Please show some #SemST,NONE
Feminist Movement,"Nice job referring to a human being as an ""It"" #DolphZiggler. #WomensWrestling #RawChicago #SemST",FAVOR
Donald Trump,Politics are confusing these days.,NONE
Feminist Movement,"Everyone quick, feminists are a minority now! lol #SemST",AGAINST
Legalization of Abortion,@BernieSanders if men were the ones that got preganant this would be a non issue in America #Bernie2016 #WomensRights #Solidarity #SemST,FAVOR
Feminist Movement,Would mean a lot if u clicked the link in my bio #feminist #SemST,FAVOR
climate change,I just enjoy sunny days.,NONE
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Atheism,#God > My fears God > My insecurities God > My worry God > My everything #SemST,AGAINST
Hillary Clinton,"@NoahCRothman ""Everything I did was permitted."" -HRC. ""If God is dead, all things are permitted"" -Dostoyevsky.  #tcot #SemST",AGAINST
Feminist Movement,Julie Burchill dismissed male suicide as inconsequential because they are men. Her son killed himself this week - karma #SemST,AGAINST
Feminist Movement,Feminist make me sick. I'm all for equality but not for Feminist Hypocrisy. #SemST,AGAINST
Legalization of Abortion,The most horrific violence in America is the war on babies. #SemST,AGAINST
climate change,Weather has always changed over time.,NONE
Atheism,Irony: When a #creationist tweets about #science being wrong on a device that couldn't have existed without it.  #SemST,FAVOR
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Legalization of Abortion,Of course an embryo is a person! If it were a puppy there'd be no desire to abort it. #SemST,AGAINST
Atheism,"Pushing beyond the absurd The light in darkened minds Railing against ancient words Seeking, honest, open it is truth we find. #SemST",AGAINST
Feminist Movement,"Religions give its members an identity & without it, they cannot function. Feminists cannot function without feminism. #SemST",AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
Hillary Clinton,#HillaryonCNN   The wicked person flees when no one is chasing them - Proverbs  #SemST,AGAINST
Legalization of Abortion,@gaz_dance I'm good like this. I've always been #SemST,NONE
Donald Trump,Trump should be held accountable for his actions.,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Feminist Movement,I like girls. They just need to know there place. #SemST,AGAINST
Hillary Clinton,"That's true, as long as one works hard, has a record of accomplishment and deserves it. @HillaryClinton NOT #SemST",AGAINST
Atheism,"Mary, Queen of martyrs, pray for us. #Catholic #SemST",AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Feminist Movement,"girl: *bikini photo* girls: slut Justin Bieber: *butt naked* girls: "" ""lemme see the front"" LOL BUT YOU'RE A FEMINIST #SemST",AGAINST
Legalization of Abortion,I cannot believe there are still people in this century who opposed to women having rights over their own bodies! #disgusted #SemST,FAVOR
Atheism,Exo.20.13-15 - ...Do not commit murder...DO NOT COMMIT ADULTERY...Do not steal. #SemST,AGAINST
climate change,Weather has always changed over time.,NONE
climate change,I just enjoy sunny days.,NONE
climate change,There is no solid proof that climate change is real.,AGAINST
Legalization of Abortion,#NothingMoreAmericanThan unjustified homicide of the unborn in #SemST,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Feminist Movement,"..Can I also add that I really enjoyed looking at @TahirRajBhasin in #Mardaani :P Tahir, you were a dashing baddie! #Bollywood #SemST",AGAINST
Feminist Movement,"Feminist don't want equality, they're hypocrites. A lot of them are single for that exact reason . #SemST",AGAINST
Feminist Movement,Girls over 130 pounds shouldn't wear a bikini #womenintech #SemST,AGAINST
climate change,I just enjoy sunny days.,NONE
Feminist Movement,"Women are taught to put their values into their hymens, rather than their intelligence, accomplishments, goals or character #SemST",AGAINST
Hillary Clinton,@BeladonnaRogers @Chairmnoomowmow The compliant media allowed themeselves to b herded by a couple of strands of rope? Good sheep! #SemST,AGAINST
Feminist Movement,"I decided to watch The Stepford Wives and I hope the women go back to normal and smash the patriarchy it's big, dumb face. #SemST",FAVOR
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Atheism,"Luke 11:5-9, 18:1-8 ""Oh Lord, avenge me of my adversary..."" #PstPeterock #EmpowermentService #SemST",AGAINST
Hillary Clinton,Wouldn't be surprise that it comes to light that Chelsea's husband cheats on her. #HillaryClinton #SemST,AGAINST
Atheism,@SenSanders there's God. Loving each other unconditionally is what matters. #SemST,AGAINST
Atheism,@evrttbrd this is PRECIOUS. omg go get em #Europe4Jesus #awakeningeurope #benfitz #bethel #paulyman #heidsbakes #father #jc #abba #SemST,AGAINST
Hillary Clinton,@TwitchyTeam ...and then she'll turn around and treat them like dogs. #RopeLine #SitUbuSitGoodDog #SemST,AGAINST
climate change,Weather has always changed over time.,NONE
Feminist Movement,I saw a little girl wearing a mustache from the vending machine. #equality #SemST,AGAINST
Hillary Clinton,@kasie I do! And I had an invitation to their beta test before they even officially launched. #HillaryLies #SemST,AGAINST
Atheism,"No, I'm not calling myself ""agnostic"" because my atheism scares you and u dont know what words mean. #SemST",FAVOR
Hillary Clinton,Hillary Clinton Accomplishment of the Day: extended full military health benefits to reservists and National Guard members. #SemST,FAVOR
Feminist Movement,"Ayyyy more hypocrisy: Hope Solo, serial domestic abuser is celebrated like a hero for winning the women's World Cup #SemST",AGAINST
climate change,Weather has always changed over time.,NONE
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
climate change,We must act immediately to combat climate change.,FAVOR
Atheism,1of 2 #Never be #afraid to and never #apologise for using the #word of #GOD as #analogies to #explain something in a #setting! #SemST,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Feminist Movement,@SpectreOfChaos is trolling #YesAllWomen. He is a stalker who has doxed  and harassed people for weeks. It is best to block him. #SemST,AGAINST
Legalization of Abortion,@Fungirl3part2 repent wen u commit a grave act like murder of a baby did u #abort ur baby?yes? then YOU repent! #hell s 4 eternity #SemST,AGAINST
Hillary Clinton,"@LVNancy @incessantpatrio @bcwilliams92 Yes! #SoMuchUgly in #HillaryClinton, Hollow Acts Are Infamous! #WhyImNotVotingForHillary #SemST",AGAINST
Hillary Clinton,"@Slate @pinkbunny70 Buh-bye, Bernie. I agree w/most of your platform, but your gun stance is unacceptable. #ENDTHENRA #SemST",NONE
Hillary Clinton,@Scott_R_Ellis the reason she struggles to appear genuine is she is not a genuine person. Actions speak louder than words.  #SemST,AGAINST
Feminist Movement,Nice rap by @RanveerOfficial @arjunk26 late but you made your point ki admi ki kya hai jarorat its all about #SemST,AGAINST
Feminist Movement,Marriage is driving under the influence of hormonal alcohol & divorce is the morally painful sobriety the day after. #SemST,NONE
climate change,Climate change is a hoax made up to control us.,AGAINST
climate change,I just enjoy sunny days.,NONE
Legalization of Abortion,"A fetus is not living, breathing, born, sentient, or autonomous which is why the pregnant woman's choice matters more #SemST",FAVOR
Feminist Movement,"I hate government, but if I were in government i'd want to be a District Attorney or a Judge to hold #YesAllWomen accountable. #SemST",AGAINST
climate change,Weather has always changed over time.,NONE
Donald Trump,Donald Trump is making America great again!,FAVOR
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Legalization of Abortion,What about in cases of rape #SemST,FAVOR
Hillary Clinton,Imagine @JoeBiden runs for POTUS. Without a doubt a strong & popularly likable candidate against the Clinton. ------- #SemST,AGAINST
Hillary Clinton,"It's amazing to me how if you want a secure border & a legal process to immigration that makes sense, it means you are racist. #SemST",NONE
Feminist Movement,"@verilymary @taylynneduvall no, men need a movement that will help them not hurt them #SemST",AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
Legalization of Abortion,@Stephen_C_Ward  What are they doing with acid signs oh yeah their all tripping #lsd  #SemST,AGAINST
Atheism,Religion has destroyed the ability for some to say know.   #SemST,FAVOR
Atheism,"Beginning to wonder if Rev. 13:17 mark, buying & selling is relevant ala corporations' behavior (Civil War games), etc. #bible #SemST",AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Hillary Clinton,I don't know how well a socialist is gonna play with southern democrats. #BernieSanders #SemST,NONE
climate change,I just enjoy sunny days.,NONE
Donald Trump,I don’t really care who’s president.,NONE
Atheism,"One Nation on their knees, with blowjobs and semen for all. Heavens to Betsy! #ReligionIsBullshit  #fyilive #SemST",FAVOR
Atheism,@Jaikrishnashree #italianchachi420 UDF/LDF made #Kerala the most backward southern state & cluelss #Hindus keep voting #marxism #SemST,NONE
Hillary Clinton,"I've been called many things, quitter is not one of them -@HillaryClinton in Iowa City Public Library #HillaryforIA #SemST",FAVOR
Feminist Movement,"@NAFEDUDE I'm just sharing a laugh with my buddies, ur points are laughable, laughing is good 4 health =)  #SemST",NONE
climate change,Weather has always changed over time.,NONE
climate change,We must act immediately to combat climate change.,FAVOR
Legalization of Abortion,The sanctity of human life is not a woman's issue. #antifeminism #SemST,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Legalization of Abortion,"Damn, interesting news when you find out you were almost a product of abortion #SemST",AGAINST
Legalization of Abortion,I'll celebrate #IndependenceDay when EVERYONE in this country is equally free & not living in fear & poverty! #EqualityForAll #p2 #SemST,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Atheism,Should we take the #DNA at birth of every human being on Earth? #science #economics #SemST,NONE
Hillary Clinton,"@JoanOfArgghh I won't use the c-word, so I'll just say that everything Clinton does is a ""cunning stunt"". #HillaryonCNN #SemST",AGAINST
Feminist Movement,Women's Forum for #FFD3 happening today! Follow @AWID @tessakhan @FemnetProg et al #justice #SemST,FAVOR
Donald Trump,Donald Trump is making America great again!,FAVOR
Legalization of Abortion,@djred678 : My views are my own. #AllLivesMatter #PrebornLivesMatter #AbortionIsViolence #Whyi'mNotVotingForHillary #SemST,AGAINST
Hillary Clinton,#EpicLiberalFail Hilary lied about Banghazi and is caught on audio biahahaha #p2 #uniteblue #libcrib #libtards #SemST,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Legalization of Abortion,@ProWomanChoice @laurawrpie @JaxLeSigh both r #human. 1e u abuse with misinformation (#women) n d other u kill by #baby #SemST,AGAINST
Feminist Movement,#yesallwomen are #always #unstoppable if they cry to get their way #likeagirl   #GamerGate    #SemST,AGAINST
Hillary Clinton,Rhodham Hood: It takes a village to  community organize wealth redistribution Obama-style.   #SemST,NONE
Donald Trump,Politics are confusing these days.,NONE
Hillary Clinton,RT @CattyHipster: Live today like it's your last day. But pay bills and dress appropriately just in case it isn't. #420 #SemST,NONE
Donald Trump,I don’t really care who’s president.,NONE
Donald Trump,I don’t really care who’s president.,NONE
Atheism,@narendramodi @PMOIndia y politicians in d office can offer iftikar parties.. It is waste of tax payer money. #SemST,NONE
climate change,Climate change is a hoax made up to control us.,AGAINST
Hillary Clinton,"Hillary says people should and do trust her, phew wee I am glad she finally got that issue behind her. #SemST",AGAINST
Legalization of Abortion,@LibertyBleeds every one in Congress should attend an abortion procedure especially partial birth that they VOTE FOR #ccot #tcot #SemST,AGAINST
Feminist Movement,Helping getting laws for both patents to get paid maternity leave???!! WHEN WILL THIS MADNESS STOP?!?!?? #feminismiscruelty #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Feminist Movement,omg @KeyAndPeele you are fcking KILLING IT! #piratesong #womenaredoctorstoo #hoeisdisrespectful #SemST,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Atheism,Is near where we will be told not 2 preach in The Name Acts 4:12 There is salvation in no 1 else...NLT #DCM2015 but #SemST,AGAINST
Hillary Clinton,GOP Busted Trey Gowdy proved their #Benghazi hearings are politically motivated when he leaked documents to the press  #SemST,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
climate change,Weather has always changed over time.,NONE
Atheism,"#JaganNathAzad, a #Hindu, was asked by founder of #Pakistan to write the first National Anthem. #SemST",AGAINST
Legalization of Abortion,"Leftist, Progressives love 2lie & claim they believe in God, but if they do they would never support #gaymarriage #Obamacare #SemST",AGAINST
Legalization of Abortion,"Like 96% of antis don't care about breathing viable persons, and 100% care about embryos more #SemST",FAVOR
Legalization of Abortion,'Snarck' - a snarky hack who puts down ordinary folk who dares question their pontifical commentaries  #SemST,NONE
Feminist Movement,You're a sexy bitch. Own that shit. #SemST,FAVOR
climate change,Climate change is a hoax made up to control us.,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Hillary Clinton,"It just depends on what the  definition of the word ""subponea"" is...  #subponea #SemST",AGAINST
Donald Trump,I don’t really care who’s president.,NONE
Atheism,I pray for the best for everybody!!! #SemST,AGAINST
Atheism,"Bind up the wounds of those whose cry comes to You, O God, rising like a tide, whose hope is in You alone. #grace #SemST",AGAINST
Legalization of Abortion,To run outside? To run inside? #SemST,NONE
Atheism,While scientists fantasize about bugs I am considering gods.  ~~   #TheLUPOL #theism #futurism #singularity #AncientAliens #SemST,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Feminist Movement,One thing I learned from my job: doors to opportunity cover fee that only the privileged can afford. #privilege #truth #SemST,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
