Tweet,Target,Stance
n't discussed articles fact governments extend contracts financial reasons cost controls also allow certain disadvantaged businesses small business minority owned business women owned business gain contracts would n't otherwise. whether deemed economic development interfering market competition matter opinion 'm curious experts would evaluate part equation,a bad deal for cities and states,NEUTRAL
n't discussed articles fact governments extend contracts financial reasons cost controls also allow certain disadvantaged businesses small business minority owned business women owned business gain contracts would n't otherwise. whether deemed economic development interfering market competition matter opinion 'm curious experts would evaluate part equation,a bad deal for cities and states,NEUTRAL
n't discussed articles fact governments extend contracts financial reasons cost controls also allow certain disadvantaged businesses small business minority owned business women owned business gain contracts would n't otherwise. whether deemed economic development interfering market competition matter opinion 'm curious experts would evaluate part equation,a bad deal for cities and states,NEUTRAL
n't discussed articles fact governments extend contracts financial reasons cost controls also allow certain disadvantaged businesses small business minority owned business women owned business gain contracts would n't otherwise. whether deemed economic development interfering market competition matter opinion 'm curious experts would evaluate part equation,a bad deal for cities and states,NEUTRAL
important recognize infrastructure needed supply public good privatized infrastructure owner effective barrier entry charge whatever wants well excess publicly provided service. keep land fill transfer stations packer trucks etc public hands. bid operations. otherwise tony soprano takes,a bad deal for cities and states,FAVOR
n't discussed articles fact governments extend contracts financial reasons cost controls also allow certain disadvantaged businesses small business minority owned business women owned business gain contracts would n't otherwise. whether deemed economic development interfering market competition matter opinion 'm curious experts would evaluate part equation,a bad deal for cities and states,FAVOR
'm sick proponents glorifying benefits outsourcing americans lost jobs thanks lobbyists political leanings wall streets focus bottom line. correlation high unemployment rate outsourcing. shoring appropriate word one millions whose job gone shoring outsourcing mean thing job. biggest fear tea partiers republicans finish taking government apart rataionale getting spending control unemployment may higher. outsourcing mantra cheapest lowest cost neighbors children pay cost. wages paid india china brazil enough support american lifestyles communities housing. seen devastation outsourcing done communities 've traveled longer support. devastating cost long outweighed benefits,a bad deal for cities and states,NEUTRAL
ideological undercurrent whole debate whether believe government enough job. question state institutions able run publicly paid institutions reflect public 's needs. fiscal conservatives n't want limit government want outsource. private sector interested profit. public sector interested fulfilling public 's interest. without government. shell whose surface big smiling millionaires high paid lobbyists n't provide service bureaucracy. bring idea government back,a bad deal for cities and states,NEUTRAL
think commenter 1 provides good example people closed minds. either n't read column convinced beliefs ignores facts data. appears instance something privatized despite evidence contrary presented dr.. warner. wants support privatization specific services show data,a bad deal for cities and states,NEUTRAL
'm sick proponents glorifying benefits outsourcing americans lost jobs thanks lobbyists political leanings wall streets focus bottom line. correlation high unemployment rate outsourcing. shoring appropriate word one millions whose job gone shoring outsourcing mean thing job. biggest fear tea partiers republicans finish taking government apart rataionale getting spending control unemployment may higher. outsourcing mantra cheapest lowest cost neighbors children pay cost. wages paid india china brazil enough support american lifestyles communities housing. seen devastation outsourcing done communities 've traveled longer support. devastating cost long outweighed benefits,a bad deal for cities and states,NEUTRAL
must understand privatize industry run government long term cost us money taxpayers less oversight industries. profit added economic paradigm lieu non profit management. profit margin figured economic model formerly profit entity eventually cost us. plus corporations rights privacy public little access prisons water treatment facilities like actually run managed,a bad deal for cities and states,NEUTRAL
people pushing privatization ones laid plans pinochet chile. look economy. way fix economy eliminating nafta bringing back clinton era corporate taxes,a bad deal for cities and states,NEUTRAL
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,NEUTRAL
state guards gates major air force base privatized. security company took despite thousands soldiers base. least man owned security guard company took one day without paying guards. 's one case. nearly every instance knee jerk privatizers take workers lose pay benefits owners rake tax money services sink bottom deep dark pit. afghanistan iraq halliburton et al. rake billions year year take lion 's share farm work sub sub sub contractors get pennies dollar cheap ineffective job -- 's done. one power complains. stop madness,a bad deal for cities and states,NEUTRAL
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,FAVOR
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,NEUTRAL
'm sick proponents glorifying benefits outsourcing americans lost jobs thanks lobbyists political leanings wall streets focus bottom line. correlation high unemployment rate outsourcing. shoring appropriate word one millions whose job gone shoring outsourcing mean thing job. biggest fear tea partiers republicans finish taking government apart rataionale getting spending control unemployment may higher. outsourcing mantra cheapest lowest cost neighbors children pay cost. wages paid india china brazil enough support american lifestyles communities housing. seen devastation outsourcing done communities 've traveled longer support. devastating cost long outweighed benefits,a bad deal for cities and states,NEUTRAL
state guards gates major air force base privatized. security company took despite thousands soldiers base. least man owned security guard company took one day without paying guards. 's one case. nearly every instance knee jerk privatizers take workers lose pay benefits owners rake tax money services sink bottom deep dark pit. afghanistan iraq halliburton et al. rake billions year year take lion 's share farm work sub sub sub contractors get pennies dollar cheap ineffective job -- 's done. one power complains. stop madness,a bad deal for cities and states,NEUTRAL
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,NEUTRAL
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,FAVOR
people pushing privatization ones laid plans pinochet chile. look economy. way fix economy eliminating nafta bringing back clinton era corporate taxes,a bad deal for cities and states,NEUTRAL
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,NEUTRAL
state guards gates major air force base privatized. security company took despite thousands soldiers base. least man owned security guard company took one day without paying guards. 's one case. nearly every instance knee jerk privatizers take workers lose pay benefits owners rake tax money services sink bottom deep dark pit. afghanistan iraq halliburton et al. rake billions year year take lion 's share farm work sub sub sub contractors get pennies dollar cheap ineffective job -- 's done. one power complains. stop madness,a bad deal for cities and states,NEUTRAL
state guards gates major air force base privatized. security company took despite thousands soldiers base. least man owned security guard company took one day without paying guards. 's one case. nearly every instance knee jerk privatizers take workers lose pay benefits owners rake tax money services sink bottom deep dark pit. afghanistan iraq halliburton et al. rake billions year year take lion 's share farm work sub sub sub contractors get pennies dollar cheap ineffective job -- 's done. one power complains. stop madness,a bad deal for cities and states,NEUTRAL
conservative members gop foremost advocates privatization. also deplore government regulation. saw result bush administration. hundreds billions taxpayer dollars wasted bid contracts uncompetitively awarded corporations linked republicans including especially vice president dick cheney. little oversight accountability. privatization another vehicle exploitation middle class greedy rich,a bad deal for cities and states,FAVOR
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,NEUTRAL
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,NEUTRAL
people pushing privatization ones laid plans pinochet chile. look economy. way fix economy eliminating nafta bringing back clinton era corporate taxes,a bad deal for cities and states,NEUTRAL
