Tweet,Target,Stance
mainstream architecture general problem along ugly alliance real estate capital. real estate wants cheap big. architects provide self interested happiness deluding way build curtain walls skins ribbons pilotis anti contextual nihilism bits painfully idiotic dogma modernist movement alas dead although ought. even nuttier architecture profession obsessed dated hegelian notion trying produce architecture time goal examined utter nonsense hubristic posturing. meanwhile load bearing masonry city barely survives attacks alliance produced. ordinary people whol live bear loss,` starchitects,NEUTRAL
living era individuals ego trumps everything. today glorify money fame allow individuals glorify clients average pedestrian must increasingly suffer unfriendly streets wall like façades protecting elites inside forbidding store fronts keeping riff raff luxury stores creating bleak streets business. 'm liberal elitist fan modernism modern facades. 'm sure solution bet one hundred years rue day destroyed livability proportion replace monstrosities user friendly edifices similar ones destroyed make way monstrosities,` starchitects,NEUTRAL
living era individuals ego trumps everything. today glorify money fame allow individuals glorify clients average pedestrian must increasingly suffer unfriendly streets wall like façades protecting elites inside forbidding store fronts keeping riff raff luxury stores creating bleak streets business. 'm liberal elitist fan modernism modern facades. 'm sure solution bet one hundred years rue day destroyed livability proportion replace monstrosities user friendly edifices similar ones destroyed make way monstrosities,` starchitects,FAVOR
"left nyc many years ago eventually came live city 40,000 generosity patron secured talents mid 20th century starchitects prominent firms. today small city architectural treasures international destination interested architecture. large cities else find collection work saarinen venturi pei meier polshek stern s.o.m. pelli weese gwathmy barnes architects collaborative sculptors like henry moore jon tinguely chihuli. obviously none local",` starchitects,AGAINST
mainstream architecture general problem along ugly alliance real estate capital. real estate wants cheap big. architects provide self interested happiness deluding way build curtain walls skins ribbons pilotis anti contextual nihilism bits painfully idiotic dogma modernist movement alas dead although ought. even nuttier architecture profession obsessed dated hegelian notion trying produce architecture time goal examined utter nonsense hubristic posturing. meanwhile load bearing masonry city barely survives attacks alliance produced. ordinary people whol live bear loss,` starchitects,NEUTRAL
"left nyc many years ago eventually came live city 40,000 generosity patron secured talents mid 20th century starchitects prominent firms. today small city architectural treasures international destination interested architecture. large cities else find collection work saarinen venturi pei meier polshek stern s.o.m. pelli weese gwathmy barnes architects collaborative sculptors like henry moore jon tinguely chihuli. obviously none local",` starchitects,AGAINST
living era individuals ego trumps everything. today glorify money fame allow individuals glorify clients average pedestrian must increasingly suffer unfriendly streets wall like façades protecting elites inside forbidding store fronts keeping riff raff luxury stores creating bleak streets business. 'm liberal elitist fan modernism modern facades. 'm sure solution bet one hundred years rue day destroyed livability proportion replace monstrosities user friendly edifices similar ones destroyed make way monstrosities,` starchitects,NEUTRAL
large corporate institutions pushed outsourcing military functions caused skyrocketing costs provide basic logistics services forward deployed units. civil workers generally paid less get full benefits packages. overall cost far less subcontracting much higher paid layer executives take money wine dine government hacks make decision contract renewals. 's rife corruption ...,a bad deal for cities and states,NEUTRAL
large corporate institutions pushed outsourcing military functions caused skyrocketing costs provide basic logistics services forward deployed units. civil workers generally paid less get full benefits packages. overall cost far less subcontracting much higher paid layer executives take money wine dine government hacks make decision contract renewals. 's rife corruption ...,a bad deal for cities and states,NEUTRAL
large corporate institutions pushed outsourcing military functions caused skyrocketing costs provide basic logistics services forward deployed units. civil workers generally paid less get full benefits packages. overall cost far less subcontracting much higher paid layer executives take money wine dine government hacks make decision contract renewals. 's rife corruption ...,a bad deal for cities and states,NEUTRAL
conservative members gop foremost advocates privatization. also deplore government regulation. saw result bush administration. hundreds billions taxpayer dollars wasted bid contracts uncompetitively awarded corporations linked republicans including especially vice president dick cheney. little oversight accountability. privatization another vehicle exploitation middle class greedy rich,a bad deal for cities and states,NEUTRAL
conservative members gop foremost advocates privatization. also deplore government regulation. saw result bush administration. hundreds billions taxpayer dollars wasted bid contracts uncompetitively awarded corporations linked republicans including especially vice president dick cheney. little oversight accountability. privatization another vehicle exploitation middle class greedy rich,a bad deal for cities and states,AGAINST
conservative members gop foremost advocates privatization. also deplore government regulation. saw result bush administration. hundreds billions taxpayer dollars wasted bid contracts uncompetitively awarded corporations linked republicans including especially vice president dick cheney. little oversight accountability. privatization another vehicle exploitation middle class greedy rich,a bad deal for cities and states,NEUTRAL
must understand privatize industry run government long term cost us money taxpayers less oversight industries. profit added economic paradigm lieu non profit management. profit margin figured economic model formerly profit entity eventually cost us. plus corporations rights privacy public little access prisons water treatment facilities like actually run managed,a bad deal for cities and states,NEUTRAL
important recognize infrastructure needed supply public good privatized infrastructure owner effective barrier entry charge whatever wants well excess publicly provided service. keep land fill transfer stations packer trucks etc public hands. bid operations. otherwise tony soprano takes,a bad deal for cities and states,NEUTRAL
important recognize infrastructure needed supply public good privatized infrastructure owner effective barrier entry charge whatever wants well excess publicly provided service. keep land fill transfer stations packer trucks etc public hands. bid operations. otherwise tony soprano takes,a bad deal for cities and states,AGAINST
large corporate institutions pushed outsourcing military functions caused skyrocketing costs provide basic logistics services forward deployed units. civil workers generally paid less get full benefits packages. overall cost far less subcontracting much higher paid layer executives take money wine dine government hacks make decision contract renewals. 's rife corruption ...,a bad deal for cities and states,NEUTRAL
done worked civil servant along side private contractors. sadly nicole gelinas nailed 's cure real proble incompetent managers. surprise surprise managers always keep jobs private contractors displace civil servants grunt work. somebody 's got mismanage contractors right,a bad deal for cities and states,NEUTRAL
done worked civil servant along side private contractors. sadly nicole gelinas nailed 's cure real proble incompetent managers. surprise surprise managers always keep jobs private contractors displace civil servants grunt work. somebody 's got mismanage contractors right,a bad deal for cities and states,NEUTRAL
done worked civil servant along side private contractors. sadly nicole gelinas nailed 's cure real proble incompetent managers. surprise surprise managers always keep jobs private contractors displace civil servants grunt work. somebody 's got mismanage contractors right,a bad deal for cities and states,NEUTRAL
done worked civil servant along side private contractors. sadly nicole gelinas nailed 's cure real proble incompetent managers. surprise surprise managers always keep jobs private contractors displace civil servants grunt work. somebody 's got mismanage contractors right,a bad deal for cities and states,AGAINST
done worked civil servant along side private contractors. sadly nicole gelinas nailed 's cure real proble incompetent managers. surprise surprise managers always keep jobs private contractors displace civil servants grunt work. somebody 's got mismanage contractors right,a bad deal for cities and states,AGAINST
'm sick proponents glorifying benefits outsourcing americans lost jobs thanks lobbyists political leanings wall streets focus bottom line. correlation high unemployment rate outsourcing. shoring appropriate word one millions whose job gone shoring outsourcing mean thing job. biggest fear tea partiers republicans finish taking government apart rataionale getting spending control unemployment may higher. outsourcing mantra cheapest lowest cost neighbors children pay cost. wages paid india china brazil enough support american lifestyles communities housing. seen devastation outsourcing done communities 've traveled longer support. devastating cost long outweighed benefits,a bad deal for cities and states,NEUTRAL
conservative members gop foremost advocates privatization. also deplore government regulation. saw result bush administration. hundreds billions taxpayer dollars wasted bid contracts uncompetitively awarded corporations linked republicans including especially vice president dick cheney. little oversight accountability. privatization another vehicle exploitation middle class greedy rich,a bad deal for cities and states,NEUTRAL
important recognize infrastructure needed supply public good privatized infrastructure owner effective barrier entry charge whatever wants well excess publicly provided service. keep land fill transfer stations packer trucks etc public hands. bid operations. otherwise tony soprano takes,a bad deal for cities and states,NEUTRAL
think commenter 1 provides good example people closed minds. either n't read column convinced beliefs ignores facts data. appears instance something privatized despite evidence contrary presented dr.. warner. wants support privatization specific services show data,a bad deal for cities and states,FAVOR
ideological undercurrent whole debate whether believe government enough job. question state institutions able run publicly paid institutions reflect public 's needs. fiscal conservatives n't want limit government want outsource. private sector interested profit. public sector interested fulfilling public 's interest. without government. shell whose surface big smiling millionaires high paid lobbyists n't provide service bureaucracy. bring idea government back,a bad deal for cities and states,NEUTRAL
must understand privatize industry run government long term cost us money taxpayers less oversight industries. profit added economic paradigm lieu non profit management. profit margin figured economic model formerly profit entity eventually cost us. plus corporations rights privacy public little access prisons water treatment facilities like actually run managed,a bad deal for cities and states,NEUTRAL
must understand privatize industry run government long term cost us money taxpayers less oversight industries. profit added economic paradigm lieu non profit management. profit margin figured economic model formerly profit entity eventually cost us. plus corporations rights privacy public little access prisons water treatment facilities like actually run managed,a bad deal for cities and states,NEUTRAL
must understand privatize industry run government long term cost us money taxpayers less oversight industries. profit added economic paradigm lieu non profit management. profit margin figured economic model formerly profit entity eventually cost us. plus corporations rights privacy public little access prisons water treatment facilities like actually run managed,a bad deal for cities and states,NEUTRAL
'm sick proponents glorifying benefits outsourcing americans lost jobs thanks lobbyists political leanings wall streets focus bottom line. correlation high unemployment rate outsourcing. shoring appropriate word one millions whose job gone shoring outsourcing mean thing job. biggest fear tea partiers republicans finish taking government apart rataionale getting spending control unemployment may higher. outsourcing mantra cheapest lowest cost neighbors children pay cost. wages paid india china brazil enough support american lifestyles communities housing. seen devastation outsourcing done communities 've traveled longer support. devastating cost long outweighed benefits,a bad deal for cities and states,FAVOR
'm sick proponents glorifying benefits outsourcing americans lost jobs thanks lobbyists political leanings wall streets focus bottom line. correlation high unemployment rate outsourcing. shoring appropriate word one millions whose job gone shoring outsourcing mean thing job. biggest fear tea partiers republicans finish taking government apart rataionale getting spending control unemployment may higher. outsourcing mantra cheapest lowest cost neighbors children pay cost. wages paid india china brazil enough support american lifestyles communities housing. seen devastation outsourcing done communities 've traveled longer support. devastating cost long outweighed benefits,a bad deal for cities and states,FAVOR
done worked civil servant along side private contractors. sadly nicole gelinas nailed 's cure real proble incompetent managers. surprise surprise managers always keep jobs private contractors displace civil servants grunt work. somebody 's got mismanage contractors right,a bad deal for cities and states,FAVOR
large corporate institutions pushed outsourcing military functions caused skyrocketing costs provide basic logistics services forward deployed units. civil workers generally paid less get full benefits packages. overall cost far less subcontracting much higher paid layer executives take money wine dine government hacks make decision contract renewals. 's rife corruption ...,a bad deal for cities and states,FAVOR
large corporate institutions pushed outsourcing military functions caused skyrocketing costs provide basic logistics services forward deployed units. civil workers generally paid less get full benefits packages. overall cost far less subcontracting much higher paid layer executives take money wine dine government hacks make decision contract renewals. 's rife corruption ...,a bad deal for cities and states,FAVOR
think commenter 1 provides good example people closed minds. either n't read column convinced beliefs ignores facts data. appears instance something privatized despite evidence contrary presented dr.. warner. wants support privatization specific services show data,a bad deal for cities and states,AGAINST
think commenter 1 provides good example people closed minds. either n't read column convinced beliefs ignores facts data. appears instance something privatized despite evidence contrary presented dr.. warner. wants support privatization specific services show data,a bad deal for cities and states,NEUTRAL
ideological undercurrent whole debate whether believe government enough job. question state institutions able run publicly paid institutions reflect public 's needs. fiscal conservatives n't want limit government want outsource. private sector interested profit. public sector interested fulfilling public 's interest. without government. shell whose surface big smiling millionaires high paid lobbyists n't provide service bureaucracy. bring idea government back,a bad deal for cities and states,NEUTRAL
think commenter 1 provides good example people closed minds. either n't read column convinced beliefs ignores facts data. appears instance something privatized despite evidence contrary presented dr.. warner. wants support privatization specific services show data,a bad deal for cities and states,AGAINST
n't discussed articles fact governments extend contracts financial reasons cost controls also allow certain disadvantaged businesses small business minority owned business women owned business gain contracts would n't otherwise. whether deemed economic development interfering market competition matter opinion 'm curious experts would evaluate part equation,a bad deal for cities and states,NEUTRAL
n't discussed articles fact governments extend contracts financial reasons cost controls also allow certain disadvantaged businesses small business minority owned business women owned business gain contracts would n't otherwise. whether deemed economic development interfering market competition matter opinion 'm curious experts would evaluate part equation,a bad deal for cities and states,NEUTRAL
n't discussed articles fact governments extend contracts financial reasons cost controls also allow certain disadvantaged businesses small business minority owned business women owned business gain contracts would n't otherwise. whether deemed economic development interfering market competition matter opinion 'm curious experts would evaluate part equation,a bad deal for cities and states,NEUTRAL
n't discussed articles fact governments extend contracts financial reasons cost controls also allow certain disadvantaged businesses small business minority owned business women owned business gain contracts would n't otherwise. whether deemed economic development interfering market competition matter opinion 'm curious experts would evaluate part equation,a bad deal for cities and states,NEUTRAL
n't discussed articles fact governments extend contracts financial reasons cost controls also allow certain disadvantaged businesses small business minority owned business women owned business gain contracts would n't otherwise. whether deemed economic development interfering market competition matter opinion 'm curious experts would evaluate part equation,a bad deal for cities and states,NEUTRAL
n't discussed articles fact governments extend contracts financial reasons cost controls also allow certain disadvantaged businesses small business minority owned business women owned business gain contracts would n't otherwise. whether deemed economic development interfering market competition matter opinion 'm curious experts would evaluate part equation,a bad deal for cities and states,NEUTRAL
important recognize infrastructure needed supply public good privatized infrastructure owner effective barrier entry charge whatever wants well excess publicly provided service. keep land fill transfer stations packer trucks etc public hands. bid operations. otherwise tony soprano takes,a bad deal for cities and states,FAVOR
n't discussed articles fact governments extend contracts financial reasons cost controls also allow certain disadvantaged businesses small business minority owned business women owned business gain contracts would n't otherwise. whether deemed economic development interfering market competition matter opinion 'm curious experts would evaluate part equation,a bad deal for cities and states,FAVOR
'm sick proponents glorifying benefits outsourcing americans lost jobs thanks lobbyists political leanings wall streets focus bottom line. correlation high unemployment rate outsourcing. shoring appropriate word one millions whose job gone shoring outsourcing mean thing job. biggest fear tea partiers republicans finish taking government apart rataionale getting spending control unemployment may higher. outsourcing mantra cheapest lowest cost neighbors children pay cost. wages paid india china brazil enough support american lifestyles communities housing. seen devastation outsourcing done communities 've traveled longer support. devastating cost long outweighed benefits,a bad deal for cities and states,NEUTRAL
ideological undercurrent whole debate whether believe government enough job. question state institutions able run publicly paid institutions reflect public 's needs. fiscal conservatives n't want limit government want outsource. private sector interested profit. public sector interested fulfilling public 's interest. without government. shell whose surface big smiling millionaires high paid lobbyists n't provide service bureaucracy. bring idea government back,a bad deal for cities and states,NEUTRAL
think commenter 1 provides good example people closed minds. either n't read column convinced beliefs ignores facts data. appears instance something privatized despite evidence contrary presented dr.. warner. wants support privatization specific services show data,a bad deal for cities and states,NEUTRAL
'm sick proponents glorifying benefits outsourcing americans lost jobs thanks lobbyists political leanings wall streets focus bottom line. correlation high unemployment rate outsourcing. shoring appropriate word one millions whose job gone shoring outsourcing mean thing job. biggest fear tea partiers republicans finish taking government apart rataionale getting spending control unemployment may higher. outsourcing mantra cheapest lowest cost neighbors children pay cost. wages paid india china brazil enough support american lifestyles communities housing. seen devastation outsourcing done communities 've traveled longer support. devastating cost long outweighed benefits,a bad deal for cities and states,NEUTRAL
must understand privatize industry run government long term cost us money taxpayers less oversight industries. profit added economic paradigm lieu non profit management. profit margin figured economic model formerly profit entity eventually cost us. plus corporations rights privacy public little access prisons water treatment facilities like actually run managed,a bad deal for cities and states,NEUTRAL
people pushing privatization ones laid plans pinochet chile. look economy. way fix economy eliminating nafta bringing back clinton era corporate taxes,a bad deal for cities and states,NEUTRAL
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,NEUTRAL
state guards gates major air force base privatized. security company took despite thousands soldiers base. least man owned security guard company took one day without paying guards. 's one case. nearly every instance knee jerk privatizers take workers lose pay benefits owners rake tax money services sink bottom deep dark pit. afghanistan iraq halliburton et al. rake billions year year take lion 's share farm work sub sub sub contractors get pennies dollar cheap ineffective job -- 's done. one power complains. stop madness,a bad deal for cities and states,NEUTRAL
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,FAVOR
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,NEUTRAL
'm sick proponents glorifying benefits outsourcing americans lost jobs thanks lobbyists political leanings wall streets focus bottom line. correlation high unemployment rate outsourcing. shoring appropriate word one millions whose job gone shoring outsourcing mean thing job. biggest fear tea partiers republicans finish taking government apart rataionale getting spending control unemployment may higher. outsourcing mantra cheapest lowest cost neighbors children pay cost. wages paid india china brazil enough support american lifestyles communities housing. seen devastation outsourcing done communities 've traveled longer support. devastating cost long outweighed benefits,a bad deal for cities and states,NEUTRAL
state guards gates major air force base privatized. security company took despite thousands soldiers base. least man owned security guard company took one day without paying guards. 's one case. nearly every instance knee jerk privatizers take workers lose pay benefits owners rake tax money services sink bottom deep dark pit. afghanistan iraq halliburton et al. rake billions year year take lion 's share farm work sub sub sub contractors get pennies dollar cheap ineffective job -- 's done. one power complains. stop madness,a bad deal for cities and states,NEUTRAL
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,NEUTRAL
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,FAVOR
people pushing privatization ones laid plans pinochet chile. look economy. way fix economy eliminating nafta bringing back clinton era corporate taxes,a bad deal for cities and states,NEUTRAL
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,NEUTRAL
state guards gates major air force base privatized. security company took despite thousands soldiers base. least man owned security guard company took one day without paying guards. 's one case. nearly every instance knee jerk privatizers take workers lose pay benefits owners rake tax money services sink bottom deep dark pit. afghanistan iraq halliburton et al. rake billions year year take lion 's share farm work sub sub sub contractors get pennies dollar cheap ineffective job -- 's done. one power complains. stop madness,a bad deal for cities and states,NEUTRAL
state guards gates major air force base privatized. security company took despite thousands soldiers base. least man owned security guard company took one day without paying guards. 's one case. nearly every instance knee jerk privatizers take workers lose pay benefits owners rake tax money services sink bottom deep dark pit. afghanistan iraq halliburton et al. rake billions year year take lion 's share farm work sub sub sub contractors get pennies dollar cheap ineffective job -- 's done. one power complains. stop madness,a bad deal for cities and states,NEUTRAL
conservative members gop foremost advocates privatization. also deplore government regulation. saw result bush administration. hundreds billions taxpayer dollars wasted bid contracts uncompetitively awarded corporations linked republicans including especially vice president dick cheney. little oversight accountability. privatization another vehicle exploitation middle class greedy rich,a bad deal for cities and states,FAVOR
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,NEUTRAL
function basic governmental function job surely done economically direct government supervision employees job. privatization profit overhead goverment agents contracting overseeing contract. ohio governor wants sell publicly owned prisons private contractors says become profitable says governor 's thinking working well. pays bill private contractor. -- government. plus profit overhead competing contract overseeing contract properly carried. also contracting jobs opens door politicians giving contracts favorites. civil service regulations prohibits corruption direct government employees,a bad deal for cities and states,NEUTRAL
people pushing privatization ones laid plans pinochet chile. look economy. way fix economy eliminating nafta bringing back clinton era corporate taxes,a bad deal for cities and states,NEUTRAL
another commentator mentioned widespread use cell phone cameras convenient connectivity internet make easy catch publicize celebrities living lives. old days photography required large bulky camera big flash gun time set camera. today 's cell phones take reasonable quality photo instantly. actors sports figures public policy makers. opposed public government officials elected appointed celebrities decide much taxes pay laws must observe whether go war. give privacy. words may public interest publicize congressman patronizing brothel especially congressman takes high moralistic political position. actor sports figure retired office politician matter thing n't affect rest us n't really matter public interest. course celebrities like publicity generate. feel compelled announce media feels compelled publish start new relationship terminate one,a celebrity,AGAINST
another commentator mentioned widespread use cell phone cameras convenient connectivity internet make easy catch publicize celebrities living lives. old days photography required large bulky camera big flash gun time set camera. today 's cell phones take reasonable quality photo instantly. actors sports figures public policy makers. opposed public government officials elected appointed celebrities decide much taxes pay laws must observe whether go war. give privacy. words may public interest publicize congressman patronizing brothel especially congressman takes high moralistic political position. actor sports figure retired office politician matter thing n't affect rest us n't really matter public interest. course celebrities like publicity generate. feel compelled announce media feels compelled publish start new relationship terminate one,a celebrity,AGAINST
another commentator mentioned widespread use cell phone cameras convenient connectivity internet make easy catch publicize celebrities living lives. old days photography required large bulky camera big flash gun time set camera. today 's cell phones take reasonable quality photo instantly. actors sports figures public policy makers. opposed public government officials elected appointed celebrities decide much taxes pay laws must observe whether go war. give privacy. words may public interest publicize congressman patronizing brothel especially congressman takes high moralistic political position. actor sports figure retired office politician matter thing n't affect rest us n't really matter public interest. course celebrities like publicity generate. feel compelled announce media feels compelled publish start new relationship terminate one,a celebrity,AGAINST
another commentator mentioned widespread use cell phone cameras convenient connectivity internet make easy catch publicize celebrities living lives. old days photography required large bulky camera big flash gun time set camera. today 's cell phones take reasonable quality photo instantly. actors sports figures public policy makers. opposed public government officials elected appointed celebrities decide much taxes pay laws must observe whether go war. give privacy. words may public interest publicize congressman patronizing brothel especially congressman takes high moralistic political position. actor sports figure retired office politician matter thing n't affect rest us n't really matter public interest. course celebrities like publicity generate. feel compelled announce media feels compelled publish start new relationship terminate one,a celebrity,AGAINST
another commentator mentioned widespread use cell phone cameras convenient connectivity internet make easy catch publicize celebrities living lives. old days photography required large bulky camera big flash gun time set camera. today 's cell phones take reasonable quality photo instantly. actors sports figures public policy makers. opposed public government officials elected appointed celebrities decide much taxes pay laws must observe whether go war. give privacy. words may public interest publicize congressman patronizing brothel especially congressman takes high moralistic political position. actor sports figure retired office politician matter thing n't affect rest us n't really matter public interest. course celebrities like publicity generate. feel compelled announce media feels compelled publish start new relationship terminate one,a celebrity,FAVOR
another commentator mentioned widespread use cell phone cameras convenient connectivity internet make easy catch publicize celebrities living lives. old days photography required large bulky camera big flash gun time set camera. today 's cell phones take reasonable quality photo instantly. actors sports figures public policy makers. opposed public government officials elected appointed celebrities decide much taxes pay laws must observe whether go war. give privacy. words may public interest publicize congressman patronizing brothel especially congressman takes high moralistic political position. actor sports figure retired office politician matter thing n't affect rest us n't really matter public interest. course celebrities like publicity generate. feel compelled announce media feels compelled publish start new relationship terminate one,a celebrity,AGAINST
... need build attractions outside casinos .... attractions bigger better atlantic ocean beaches. locales shore experience sufficient sustain viable local economy. perhaps emphasis gambling family friendly environment led unsustainable business model occurred meadowlands horse track. casinos panacea decline aging urban areas,a gamble,FAVOR
unemployment leads poverty domestic abuse homelessness addiction. ... gambling n't. couple questions past experience show modern casinos strengthen town 's existing businesses rather bring competition drives business. percent local unemployed people offered good casino jobs pay well great benefits. costs living casino community. drugs. crime. prostitution. whole country still recover financial meltdown result wholesale buy something nothing investment scam. contribution rebuilding effort casinos,a gamble,FAVOR
casino replace eagle new symbol america. wait make casino really big army. anyone truly think business designed churn money skim top social value economy recently created value making things. oh wait 'm thinking wall street. 're discussing casinos. well guess say casinos really fun way pay stupidity taxes. yes 's. money disappears like cat watch shiny things go around circles bat. 's testament far 've come 're willing call employing dealers bouncers boon economy. yes even areas moon shining still considered career choice,a gamble,NEUTRAL
push casinos demonstrates lack imagination forethought politicians. casinos wave future regressive every respect. surely state senator creative forward thinking solution unemployment. surely state senator respect constituents suggest something elevates district bringing sustainable development relies educated sophisticated populace protecting cultural natural resources area ny. suggestion home prices go due introduction casinos absurd substantiated atlantic city eastern connecticut areas legalized gambling,a gamble,NEUTRAL
casino taxes development revenue city 's three casinos generate 11 million month detroit. revenue come. thin air. writer know negative sum game even zero sum game. every dollar city takes sure casino operators take least five. people spend money overwhelmingly ca n't afford 11 million get back services less lost first place. end day casino ends making new product service escapist entertainment. say casino puts money back community. bet. see piece professor simon atlantic city. maybe money come thin air -- canadians non detroiters. well 's great. go paul. sorry peter,a gamble,NEUTRAL
